digits,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,,,,,,,,,,,,,,
2,1,13,10,1,,,,,,,,,,
3,,7,37,19,2,,,,,,,,,
4,,26,61,41,11,1,,,,,,,,
5,,97,90,48,24,6,1,,,,,,,
6,,122,144,120,55,8,13,,,,,,,
7,,234,299,119,55,26,8,9,,,,,,
8,,461,423,111,101,34,,19,6,,,,,
9,,767,629,141,103,37,1,15,12,,,,,
10,,1301,807,193,69,50,2,5,1,3,,,,
11,,1821,1028,330,104,50,15,,8,11,,,,
12,,2584,1467,308,115,45,20,,3,8,,,,
13,,3644,1900,303,118,32,14,,6,3,,,,
14,,4845,2431,339,123,40,25,,11,6,,,,
15,,6320,3075,403,116,39,17,,15,6,5,,,
16,,8517,3592,303,130,41,,,,6,8,,,
17,,11197,4076,289,83,6,1,4,,6,13,,,
18,,14165,4718,294,66,8,8,15,,6,5,,,
19,,17837,5235,328,49,8,11,17,,,,,,
20,,22235,5728,290,35,11,11,26,,,,,,
21,,27343,6159,302,47,11,11,29,,,,,,
22,,33475,6461,263,40,11,,,,,,,,
23,,39788,7266,324,61,11,,,,,,,,
24,,46477,8726,290,77,5,,,,,,,,
25,,54860,9502,247,89,3,,,,,,,,
26,,64939,9724,165,79,,,,,,,,,
27,,76039,9993,198,45,,,,,,,,,
28,,88019,10620,219,32,,,,,,,,,
29,,101850,10772,186,32,,,,,,,,,
30,,117083,10954,167,12,,,,,,,,,
31,,133826,11101,176,9,,,,,,,,,
32,,151863,11555,198,9,,,,,,,,,
33,,171629,12096,121,9,,,,,,,,,
34,,193418,12384,94,9,,,,,,,,,
35,,217096,12719,66,,,,,,,,,,
36,,242645,13173,74,,,,,,,,,,
37,,270064,13916,70,,,,,,,,,,
38,,300340,14091,39,,,,,,,,,,
39,,333030,14185,55,,,,,,,,,,
40,,368358,14153,60,,,,,,,,,,
41,,406225,14216,56,,,,,,,,,,
42,,446567,14531,77,,,,,,,,,,
43,,489884,14778,73,,,,,,,,,,
44,,535989,15245,76,,,,,,,,,,
45,,584947,16004,85,,,,,,,,,,
46,,637475,16486,91,,,,,,,,,,
47,,693889,16520,91,,,,,,,,,,
48,,754321,16112,92,,,,,,,,,,
49,,818770,15468,37,,,,,,,,,,
50,,886704,15176,21,,,,,,,,,,
51,,192791,3429,,,,,,,,,,,
